                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 0.1665,               0.083043,                0.98217,                      1,             0.00049293
                      1,                0.11976,               0.074541,                0.98628,                      1,             0.00048586
                      2,                0.10371,               0.050821,                0.99863,                      1,             0.00047879
                      3,                0.10065,               0.078812,                0.98354,                      1,             0.00047171
                      4,               0.097909,               0.055632,                 0.9904,                      1,             0.00046464
                      5,               0.091282,               0.058636,                0.99451,                      1,             0.00045757
                      6,               0.094494,                0.04677,                0.99863,                      1,              0.0004505
                      7,               0.087178,                0.04702,                0.99588,                      1,             0.00044343
                      8,               0.091182,                0.05056,                0.99863,                      1,             0.00043636
                      9,               0.083899,               0.064199,                0.98903,                      1,             0.00042929
                     10,               0.086181,               0.043614,                0.99863,                      1,             0.00042221
                     11,               0.085232,               0.053144,                0.99588,                      1,             0.00041514
                     12,               0.082107,               0.054135,                0.99177,                      1,             0.00040807
                     13,               0.089606,               0.047547,                0.99588,                      1,               0.000401
                     14,               0.079511,               0.039564,                      1,                      1,             0.00039393
                     15,               0.071932,               0.066248,                0.98628,                      1,             0.00038686
                     16,               0.089503,               0.042614,                0.99863,                      1,             0.00037979
                     17,               0.075795,               0.059507,                0.99177,                      1,             0.00037271
                     18,               0.071726,               0.066993,                0.98765,                      1,             0.00036564
                     19,               0.075769,               0.047038,                0.99588,                      1,             0.00035857
                     20,                0.07849,               0.050134,                0.99314,                      1,              0.0003515
                     21,               0.071097,               0.063093,                0.98354,                      1,             0.00034443
                     22,               0.072665,                0.04642,                0.99588,                      1,             0.00033736
                     23,               0.076775,               0.050455,                0.99588,                      1,             0.00033029
                     24,               0.067108,               0.044898,                0.99726,                      1,             0.00032321
                     25,               0.073442,               0.045243,                0.99726,                      1,             0.00031614
                     26,               0.059205,               0.042834,                0.99863,                      1,             0.00030907
                     27,               0.069072,               0.044502,                0.99863,                      1,               0.000302
                     28,               0.069998,               0.043355,                0.99726,                      1,             0.00029493
                     29,               0.067042,               0.046053,                0.99726,                      1,             0.00028786
                     30,                0.06561,               0.058027,                0.98628,                      1,             0.00028079
                     31,               0.066195,               0.045493,                0.99588,                      1,             0.00027371
                     32,                0.06228,                0.04833,                0.99314,                      1,             0.00026664
                     33,               0.065711,               0.040088,                0.99863,                      1,             0.00025957
                     34,               0.060791,               0.042219,                0.99588,                      1,              0.0002525
                     35,               0.059258,               0.039088,                0.99863,                      1,             0.00024543
                     36,                 0.0601,               0.039789,                0.99863,                      1,             0.00023836
                     37,               0.063516,               0.040343,                0.99863,                      1,             0.00023129
                     38,               0.062101,               0.046496,                0.99314,                      1,             0.00022421
                     39,               0.059047,               0.042786,                0.99588,                      1,             0.00021714
                     40,               0.060215,                0.04182,                0.99863,                      1,             0.00021007
                     41,               0.053339,               0.037937,                      1,                      1,               0.000203
                     42,               0.054758,               0.038368,                      1,                      1,             0.00019593
                     43,               0.058235,               0.038322,                0.99863,                      1,             0.00018886
                     44,               0.056804,               0.039609,                      1,                      1,             0.00018179
                     45,               0.050862,               0.037031,                      1,                      1,             0.00017471
                     46,               0.051257,                0.03647,                      1,                      1,             0.00016764
                     47,                0.04975,                0.03652,                      1,                      1,             0.00016057
                     48,               0.049559,               0.037305,                      1,                      1,              0.0001535
                     49,               0.050845,                0.03723,                      1,                      1,             0.00014643
                     50,               0.049368,               0.037415,                      1,                      1,             0.00013936
                     51,               0.049946,               0.037371,                      1,                      1,             0.00013229
                     52,               0.046735,               0.038152,                0.99863,                      1,             0.00012521
                     53,               0.047662,               0.038208,                      1,                      1,             0.00011814
                     54,               0.050557,               0.038584,                      1,                      1,             0.00011107
                     55,               0.052621,               0.038081,                      1,                      1,               0.000104
                     56,               0.043884,               0.036976,                      1,                      1,             9.6929e-05
                     57,               0.045452,               0.036574,                      1,                      1,             8.9857e-05
                     58,                0.04358,                0.03627,                      1,                      1,             8.2786e-05
                     59,               0.045039,               0.036452,                      1,                      1,             7.5714e-05
                     60,               0.046209,               0.036786,                      1,                      1,             6.8643e-05
                     61,                0.04226,               0.037586,                      1,                      1,             6.1571e-05
                     62,               0.039675,               0.037594,                      1,                      1,               5.45e-05
                     63,               0.042427,               0.036938,                      1,                      1,             4.7429e-05
                     64,               0.044052,               0.036986,                      1,                      1,             4.0357e-05
                     65,               0.041245,               0.037193,                      1,                      1,             3.3286e-05
                     66,               0.040348,               0.037348,                      1,                      1,             2.6214e-05
                     67,               0.038283,                0.03743,                      1,                      1,             1.9143e-05
                     68,                 0.0401,               0.038081,                0.99863,                      1,             1.2071e-05
                     69,               0.038253,               0.037655,                0.99863,                      1,                  5e-06
